id,location_id,section_id,table_name,attributes,min_capacity,max_capacity,assigned_staff_id,assigned_time,status,sort_order,is_enabled,created_time,modified_time
14e262fd-1aae-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,F1,NULL,1,4,NULL,"2024-06-30 18:53:41",1,37,1,"2020-10-30 12:47:34","2024-06-30 22:52:00"
14e26acc-1aae-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,F2,NULL,1,6,NULL,"2024-06-30 23:44:46",1,38,1,"2020-10-30 12:47:34","2024-07-03 00:14:56"
14e26fc4-1aae-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,F3,NULL,1,2,NULL,"2024-06-30 18:59:34",1,39,1,"2020-10-30 12:47:34","2024-06-30 19:05:32"
14e28719-1aae-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,F4,NULL,1,4,NULL,"2024-06-30 17:53:43",1,40,1,"2020-10-30 12:47:34","2024-06-30 18:00:09"
14e28861-1aae-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,F5,NULL,1,4,NULL,"2024-06-30 23:48:57",1,41,1,"2020-10-30 12:47:34","2024-06-30 23:54:28"
294b7377-1aaf-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,T1,NULL,1,4,NULL,"2024-03-17 00:25:40",0,50,1,"2020-10-30 12:55:17","2024-03-17 00:31:15"
294b7b12-1aaf-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,T2,NULL,1,4,NULL,"2020-11-08 23:26:34",1,51,1,"2020-10-30 12:55:17","2023-08-14 08:00:34"
294b7c3e-1aaf-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,T3,NULL,1,4,NULL,"2024-05-05 00:04:49",0,52,1,"2020-10-30 12:55:17","2024-05-05 00:09:52"
294b7f55-1aaf-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,T4,NULL,1,6,NULL,"2020-11-08 18:38:00",0,53,1,"2020-10-30 12:55:17","2023-08-14 08:00:35"
294b8044-1aaf-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,T5,NULL,1,6,NULL,"2020-11-08 19:40:35",0,54,1,"2020-10-30 12:55:17","2023-08-14 08:00:35"
294b81d9-1aaf-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,T6,NULL,1,4,NULL,"2023-10-28 21:36:02",1,55,1,"2020-10-30 12:55:17","2023-10-28 21:36:02"
294b8368-1aaf-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,T7,NULL,1,4,NULL,"2020-11-08 18:24:29",0,56,1,"2020-10-30 12:55:17","2023-08-14 08:00:36"
294b8439-1aaf-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,T8,NULL,1,4,NULL,"2023-10-28 19:21:24",1,57,1,"2020-10-30 12:55:17","2023-10-28 19:21:24"
294b854b-1aaf-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,T9,NULL,1,2,NULL,"2020-11-08 18:22:55",0,59,1,"2020-10-30 12:55:17","2023-08-14 08:00:36"
294b8623-1aaf-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,T10,NULL,1,2,NULL,"2020-11-08 18:50:53",0,60,1,"2020-10-30 12:55:17","2023-08-14 08:00:36"
294b8944-1aaf-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,T11,NULL,1,2,NULL,"2024-05-13 00:58:28",0,61,1,"2020-10-30 12:55:17","2024-05-13 01:03:33"
294b8a2d-1aaf-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,T12,NULL,1,4,NULL,"2023-06-01 23:44:16",1,62,0,"2020-10-30 12:55:17","2023-08-14 08:00:37"
294b8af7-1aaf-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,T13,NULL,1,4,NULL,NULL,0,63,0,"2020-10-30 12:55:17","2023-08-14 08:00:37"
294b8c80-1aaf-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,T14,NULL,1,4,NULL,NULL,0,64,0,"2020-10-30 12:55:17","2023-08-14 08:00:38"
3e5e48d6-1aa9-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,A1,NULL,1,6,NULL,"2024-06-30 18:11:38",1,1,1,"2020-10-30 12:12:56","2024-06-30 21:52:51"
3e5e5606-1aa9-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,A2,NULL,1,4,NULL,"2024-06-30 19:21:38",1,2,1,"2020-10-30 12:12:56","2024-06-30 19:21:38"
3e5e575c-1aa9-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,A3,NULL,1,4,NULL,"2024-06-30 17:07:40",1,3,1,"2020-10-30 12:12:56","2024-06-30 18:13:35"
3e5e5955-1aa9-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,A4,NULL,1,4,NULL,"2024-06-30 19:01:28",1,4,1,"2020-10-30 12:12:56","2024-06-30 19:10:07"
3e5e5be6-1aa9-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,A5,NULL,1,6,NULL,"2024-06-30 18:32:57",1,5,1,"2020-10-30 12:12:56","2024-06-30 21:44:30"
3e5e5cf9-1aa9-11eb-89a4-42010a010007,14d293a8-81c5-40b2-a208-be1c03a93fad,3f3ba799-77de-4a2f-bad7-70f78bbd06ca,A6,NULL,1,4,NULL,"2024-06-30 18:57:39",1,6,1,"2020-10-30 12:12:56","2024-06-30 21:51:57"
